video_file,verse_ref,tradition,source_gold,mention_type,has_explicit_ref,uncertain,annotator,notes
gita-1st_video,BG 2.1,Dvaita,annotations.csv,,,,,
gita-1st_video,BG 2.2,Dvaita,annotations.csv,,,,,
gita-1st_video,BG 2.3,Dvaita,annotations.csv,,,,,
gita-2nd_video,BG 2.4,Dvaita,annotations.csv,,,,,
gita-2nd_video,BG 2.5,Dvaita,annotations.csv,,,,,
gita-2nd_video,BG 2.6,Dvaita,annotations.csv,,,,,
gita-3rd_video,BG 2.7,Dvaita,annotations.csv,,,,,
gita-3rd_video,BG 2.8,Dvaita,annotations.csv,,,,,
gita-3rd_video,BG 2.9,Dvaita,annotations.csv,,,,,
gita-4th_video,BG 2.10,Dvaita,annotations.csv,,,,,
gita-4th_video,BG 2.11,Dvaita,annotations.csv,,,,,
gita-5th_video,BG 2.12,Dvaita,annotations.csv,,,,,
gita-5th_video,BG 2.13,Dvaita,annotations.csv,,,,,
gita-6th_video,BG 2.14,Dvaita,annotations.csv,,,,,
kannada_07,BG 2.15,Dvaita,annotations.csv,,,,,
kannada_07,BG 2.16,Dvaita,annotations.csv,,,,,
kannada_08,BG 2.17,Dvaita,annotations.csv,,,,,
kannada_08,BG 2.18,Dvaita,annotations.csv,,,,,
kannada_09,BG 2.19,Dvaita,annotations.csv,,,,,
kannada_09,BG 2.20,Dvaita,annotations.csv,,,,,
kannada_09,BG 2.21,Dvaita,annotations.csv,,,,,
kannada_09,BG 2.22,Dvaita,annotations.csv,,,,,
kannada_10,BG 2.23,Dvaita,annotations.csv,,,,,
kannada_10,BG 2.24,Dvaita,annotations.csv,,,,,
kannada_10,BG 2.25,Dvaita,annotations.csv,,,,,
kannada_11,BG 2.26,Dvaita,annotations.csv,,,,,
kannada_11,BG 2.27,Dvaita,annotations.csv,,,,,
kannada_11,BG 2.28,Dvaita,annotations.csv,,,,,
kannada_12,BG 2.29,Dvaita,annotations.csv,,,,,
kannada_12,BG 2.30,Dvaita,annotations.csv,,,,,
kannada_12,BG 2.31,Dvaita,annotations.csv,,,,,
kannada_13,BG 2.32,Dvaita,annotations.csv,,,,,
kannada_13,BG 2.33,Dvaita,annotations.csv,,,,,
kannada_13,BG 2.34,Dvaita,annotations.csv,,,,,
kannada_14,BG 2.35,Dvaita,annotations.csv,,,,,
kannada_14,BG 2.36,Dvaita,annotations.csv,,,,,
kannada_14,BG 2.37,Dvaita,annotations.csv,,,,,
kannada_15,BG 2.38,Dvaita,annotations.csv,,,,,
kannada_15,BG 2.39,Dvaita,annotations.csv,,,,,
kannada_16,BG 2.40,Dvaita,annotations.csv,,,,,
kannada_16,BG 2.41,Dvaita,annotations.csv,,,,,
kannada_17,BG 2.42,Dvaita,annotations.csv,,,,,
kannada_17,BG 2.43,Dvaita,annotations.csv,,,,,
kannada_17,BG 2.44,Dvaita,annotations.csv,,,,,
kannada_17,BG 2.45,Dvaita,annotations.csv,,,,,
kannada_18,BG 2.46,Dvaita,annotations.csv,,,,,
kannada_19,BG 2.47,Dvaita,annotations.csv,,,,,
kannada_20,BG 2.48,Dvaita,annotations.csv,,,,,
kannada_20,BG 2.49,Dvaita,annotations.csv,,,,,
video_01,BG 2.1,Advaita,advaita_ground_truth.py,,,,,
video_01,BG 2.2,Advaita,advaita_ground_truth.py,,,,,
video_01,BG 2.3,Advaita,advaita_ground_truth.py,,,,,
video_01,BG 2.4,Advaita,advaita_ground_truth.py,,,,,
video_01,BG 2.5,Advaita,advaita_ground_truth.py,,,,,
video_01,BG 2.6,Advaita,advaita_ground_truth.py,,,,,
video_01,BG 2.7,Advaita,advaita_ground_truth.py,,,,,
video_01,BG 2.8,Advaita,advaita_ground_truth.py,,,,,
video_01,BG 2.9,Advaita,advaita_ground_truth.py,,,,,
video_01,BG 2.10,Advaita,advaita_ground_truth.py,,,,,
video_02,BG 2.11,Advaita,advaita_ground_truth.py,,,,,
video_02,BG 2.12,Advaita,advaita_ground_truth.py,,,,,
video_03,BG 2.13,Advaita,advaita_ground_truth.py,,,,,
video_03,BG 2.14,Advaita,advaita_ground_truth.py,,,,,
video_03,BG 2.15,Advaita,advaita_ground_truth.py,,,,,
video_04,BG 2.16,Advaita,advaita_ground_truth.py,,,,,
video_05,BG 2.17,Advaita,advaita_ground_truth.py,,,,,
video_05,BG 2.18,Advaita,advaita_ground_truth.py,,,,,
video_06,BG 2.19,Advaita,advaita_ground_truth.py,,,,,
video_07,BG 2.20,Advaita,advaita_ground_truth.py,,,,,
video_07,BG 2.21,Advaita,advaita_ground_truth.py,,,,,
video_07,BG 2.22,Advaita,advaita_ground_truth.py,,,,,
video_08,BG 2.22,Advaita,advaita_ground_truth.py,,,,,
video_08,BG 2.23,Advaita,advaita_ground_truth.py,,,,,
video_08,BG 2.24,Advaita,advaita_ground_truth.py,,,,,
video_08,BG 2.25,Advaita,advaita_ground_truth.py,,,,,
video_09,BG 2.26,Advaita,advaita_ground_truth.py,,,,,
video_09,BG 2.27,Advaita,advaita_ground_truth.py,,,,,
video_10,BG 2.28,Advaita,advaita_ground_truth.py,,,,,
video_10,BG 2.29,Advaita,advaita_ground_truth.py,,,,,
