unit_id,video_file,annotator,verse_ref,mention_type,has_explicit_ref,uncertain,notes,created_at
kn_gita-5th_video_0000,gita-5th_video,Expert (father),BG 2.11,T2,1,1,"pratika-only: asocya (2.11), prahasan (2.10); one-word-fragment case, adjudicate with kannada_07 0005",2026-08-26T14:25:26
kn_gita-5th_video_0001,gita-5th_video,Expert (father),BG 2.12,T1,1,0,"""12ne shloka"" + full recitation na tv evaham jatu nasam + PADAVIBHAGA:",2026-08-26T14:25:26
kn_gita-5th_video_0002,gita-5th_video,Expert (father),BG 2.12,T2,0,0,"aham nasam iti na tv eva, tvam nasih",2026-08-26T14:25:26
kn_gita-5th_video_0003,gita-5th_video,Expert (father),BG 2.12,T2,0,0,"ime janadhipah, nasan iti na + three-persons analysis",2026-08-26T14:25:26
kn_gita-5th_video_0004,gita-5th_video,Expert (father),BG 2.12,T2,0,0,atah param sarve vayam na bhavishyamah iti na,2026-08-26T14:25:26
kn_gita-5th_video_0005,gita-5th_video,Expert (father),BG 2.12,T4,0,0,application: deceased atman persists; ajara amara is vocabulary not verse text,2026-08-26T14:25:26
kn_gita-5th_video_0006,gita-5th_video,Expert (father),BG 2.12,T1,1,0,"full re-recitation of 2.12, then ""13ne shloka"" + full 2.13 dehinosmin yatha dehe + PADAVIBHAGA:",2026-08-26T14:25:26
kn_gita-5th_video_0006,gita-5th_video,Expert (father),BG 2.13,T1,1,0,"full re-recitation of 2.12, then ""13ne shloka"" + full 2.13 dehinosmin yatha dehe + PADAVIBHAGA:",2026-08-26T14:25:26
kn_gita-5th_video_0007,gita-5th_video,Expert (father),BG 2.13,T2,0,0,"dehinah, dehe, kaumaram yauvanam jara + grhi/dehi analogy",2026-08-26T14:25:26
kn_gita-5th_video_0008,gita-5th_video,Expert (father),BG 2.13,T2,0,0,yatha... tatha dehantara praptih,2026-08-26T14:25:26
